School District,School,County,Type of Organization,Number of Outlets,Any Buildings with Lead-Free Plumbing?,Previously Sampled Outlets,Outlets Waiver Requested,Waivers Granted,Outlets Sampled After Regulation,Sampling Complete,Sampling Completion Date,"Number of Outlets, Result ≤ 15 ppb","Number of Outlets, Result > 15 ppb",Out of Service,All Results Received	,Date All Results Received,School Website	,BEDS Code,School Street ,School City,School State,School Zip Code,Date Sampling Updated,Date Results Updated,County Location,Location
OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CSD,D H ROBBINS SCHOOL (LEAD ONLY),Montgomery,Public School,23,No,0,0,0,22,Yes,09/29/2016,23,0,Yes,Yes,12/15/2016,https://www.oesj.org/departments/building-and-grounds/,271201040003,61 MONROE STREET,ST. JOHNSVILLE,NY,13452,10/12/2018,10/09/2018,"(42.933637, -74.341972)","61 MONROE STREET
ST. JOHNSVILLE, NY 13452
(42.99913959500003, -74.67375267799997)"
PELHAM UNION FREE SCHOOL,HUTCHINSON SCHOOL,Westchester,Public School,48,No,37,0,0,9,Yes,10/12/2016,47,1,Yes,Yes,11/14/2016,www.pelhamschools.org,661601030002,301 THIRD AVE,PELHAM,NY,10803,12/02/2016,12/02/2016,"(41.039278, -73.805386)","301 THIRD AVE
PELHAM, NY 10803
(40.91574020300004, -73.80927704599998)"
SACHEM CENT SCH AT HOLBROOK,MERRIMAC SCHOOL,Suffolk,Public School,46,No,41,0,0,5,Yes,02/07/2017,46,0,Yes,Yes,06/01/2017,www.sachem.edu,580205060014,1090 BROADWAY AVE,HOLBROOK,NY,11741,10/11/2018,10/11/2018,"(40.820237, -73.119032)","1090 BROADWAY AVE
HOLBROOK, NY 11741
(40.789087281000036, -73.06809221199995)"
ROYALTON HARTLAND CENT SCH,ROYALTON HARTLAND MIDDLE SCHOOL,Niagara,Public School,104,This school has one or more lead-free buildings,101,0,0,104,Yes,09/30/2016,104,0,Yes,Yes,11/10/2016,http://www.royhart.org/,401201060004,78 STATE ST,MIDDLEPORT,NY,14105,10/04/2018,10/04/2018,"(43.134634, -78.856419)","78 STATE ST
MIDDLEPORT, NY 14105
(43.212752926000064, -78.46681099899996)"
RYE CITY SCHOOL DISTRICT,RYE H S,Westchester,Public School,210,No,0,0,0,210,Yes,10/29/2016,149,61,Yes,Yes,11/15/2016,www.ryeschools.org,661800010004,PARSONS ST,RYE,NY,10580,10/10/2018,11/17/2016,"(41.039278, -73.805386)","PARSONS ST
RYE, NY 10580
(40.97408209100007, -73.68649533399997)"
NYC DOE,Q117,Queens,Public School,104,No,0,0,0,104,Yes,01/24/2017,98,6,Yes,Yes,02/01/2017,http://schools.nyc.gov/SchoolPortals/28/Q117/default.htm,Q117,85-15 143 STREET,Queens,NY,11435,02/03/2017,02/03/2017,"(40.749338, -73.789673)","85-15 143 STREET
Queens, NY 11435
(40.70948695300007, -73.81333700099998)"
ONTEORA CENTRAL SCHOOL,PHOENICIA ELEM SCHOOL,Ulster,Public School,56,No,10,0,0,56,Yes,09/21/2018,44,13,Yes,Yes,10/07/2016,www.onteora.k12.ny.us,621201060002,RT 214,PHOENICIA,NY,12464,10/12/2018,11/11/2016,"(41.848374, -74.099412)","RT 214
PHOENICIA, NY 12464
(42.093125100000066, -74.31914705099996)"
NYC DOE,Q935,Queens,Public School,4,No,0,0,0,4,Yes,01/26/2017,4,0,No,Yes,02/06/2017,No website for building,Q935,65-10 DIETERLE CRESCENT,Queens,NY,11374,02/07/2017,02/07/2017,"(40.749338, -73.789673)","65-10 DIETERLE CRESCENT
Queens, NY 11374
(40.72089194800003, -73.86131019899994)"
NYC DOE,R030,Richmond,Public School,79,No,0,0,0,79,Yes,12/21/2016,79,0,No,Yes,01/20/2017,http://schools.nyc.gov/SchoolPortals/31/R030/default.htm,R030,200 WARDWELL AVENUE,Staten Island,NY,10314,01/24/2017,01/24/2017,"(40.566763, -74.148102)","200 WARDWELL AVENUE
Staten Island, NY 10314
(40.618006355000034, -74.13278553399994)"
PHELPS-CLIFTON SPRINGS CENTRAL SCHOOL,MIDLAKES PRIMARY SCHOOL,Ontario,Public School,162,This school has one or more lead-free buildings,104,0,0,58,Yes,09/16/2016,162,0,Yes,Yes,09/16/2016,www.midlakes.org,431301060001,1500 ROUTE 488,CLIFTON SPRINGS,NY,14432,11/04/2016,11/04/2016,"(42.894571, -77.252045)","1500 ROUTE 488
CLIFTON SPRINGS, NY 14432
(42.95760706300007, -77.09573259499996)"
OGDENSBURG CITY SCHOOLS,OGDENSBURG FREE ACADEMY,Saint Lawrence,Public School,92,No,92,0,0,57,Yes,10/17/2016,149,0,Yes,Yes,12/27/2016,http://www.ogdensburgk12.org/,512300010009,1101 STATE ST,OGDENSBURG,NY,13669,12/29/2016,12/29/2016,"(44.689468, -75.242045)","1101 STATE ST
OGDENSBURG, NY 13669
(44.68890805400008, -75.48563712899994)"
RYE NECK UNION FREE SCHOOL,RYE NECK S H S,Westchester,Public School,128,No,0,0,0,82,Yes,10/28/2016,82,46,Yes,Yes,11/10/2016,www.ryeneck.org,661901030002,300 HORNIDGE RD,MAMARONECK,NY,10543,09/27/2018,09/27/2018,"(41.039278, -73.805386)","300 HORNIDGE RD
MAMARONECK, NY 10543
(40.957392123000034, -73.71671321299993)"
OCEANSIDE UNION FREE SCHOOL,SCHOOL 5,Nassau,Public School,26,No,22,0,0,4,Yes,01/28/2017,26,0,Yes,Yes,06/19/2017,Http://oceansideschools.org,280211030005,NO OCEANSIDE RD,OCEANSIDE,NY,11572,10/12/2018,10/12/2018,"(40.715749, -73.601185)","NO OCEANSIDE RD
OCEANSIDE, NY 11572
(40.62206707000007, -73.63253924599996)"
NYC DOE,Q101,Queens,Public School,53,No,0,0,0,53,Yes,01/25/2017,49,4,Yes,Yes,02/07/2017,http://schools.nyc.gov/SchoolPortals/28/Q101/default.htm,Q101,2 RUSSELL PLACE,Queens,NY,11375,02/08/2017,02/08/2017,"(40.749338, -73.789673)","2 RUSSELL PLACE
Queens, NY 11375
(40.71562127800007, -73.84387520299998)"
NYC DOE,Q822,Queens,Public School,12,No,0,0,0,12,Yes,01/24/2017,12,0,No,Yes,01/31/2017,No website for building,Q822,114-36 202 STREET,Queens,NY,11412,02/03/2017,02/03/2017,"(40.749338, -73.789673)","114-36 202 STREET
Queens, NY 11412
(40.69955212700006, -73.75253798699998)"
NYC DOE,Q430,Queens,Public School,133,No,0,0,0,133,No,02/11/2017,129,4,Yes,Yes,04/04/2017,http://schools.nyc.gov/SchoolPortals/26/Q430/default.htm,Q430,58-20 UTOPIA PARKWAY,Queens,NY,11365,04/05/2017,04/05/2017,"(40.749338, -73.789673)","58-20 UTOPIA PARKWAY
Queens, NY 11365
(40.74056831200005, -73.79287415199997)"
